"Symbol","Description","Universe","Market Capitalization","Sector","Industry","Same Sub-Industry As","Price/Earnings (TTM)","Price/Book (MRQ)"
"AEIS","Advanced Energy Industries Inc","Domestic","$3B (Small)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","16.92","3.33"
"AENG","Advanced Engine Technologies Inc","Domestic","$3K (Micro)","Consumer Discretionary","Auto Components","Auto Parts & Equipment","--","0.00"
"AMPIW","Advanced Merger Partners Equity Warrants Exp 30th June 2026","Domestic","-- ","--","--","--","--","--"
"AMD","Advanced Micro Devices Inc","Domestic","$119B (Large)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","44.29","2.18"
"AOXY","Advanced Oxygen Technologies Inc","Domestic","$764K (Micro)","Real Estate","Real Estate Management & Development","Real Estate Operating Companies","13.86","2.74"
"AVOI","Advanced Voice Recognition Systems Inc","Domestic","$1M (Micro)","Information Technology","Software","Application Software","--","--"
"ASIX","AdvanSix Inc","Domestic","$1B (Micro)","Materials","Chemicals","Commodity Chemicals","7.02","1.50"
"ADV","Advantage Solutions Inc","Domestic","$825M (Micro)","Communication Services","Media","Advertising","12.09","0.32"
"ADGO","Advantego Corporation","Domestic","$2M (Micro)","Information Technology","Software","Systems Software","--","--"
"ADVT","Advantis Corp","Domestic","-- ","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"CHCR","Advanzeon Solutions Inc","Domestic","$12K (Micro)","Health Care","Health Care Providers & Services","Managed Health Care","--","--"
"ADXS","Advaxis Inc","Domestic","$23M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.10"
"ADN","Advent Technologies Holdings Inc","Domestic","$95M (Micro)","Industrials","Electrical Equipment","Electrical Components & Equipment","--","0.88"
"ADVM","Adverum Biotechnologies Inc","Domestic","$71M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.34"
"ADYX","Adynxx Inc","Domestic","$581 (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"ACM","AECOM","Domestic","$11B (Mid)","Industrials","Construction & Engineering","Construction & Engineering","28.85","--"
"AGLE","Aeglea Bio Therapeutics Inc","Domestic","$73M (Micro)","Health Care","Biotechnology","Biotechnology","--","1.08"
"AEHR","Aehr Test Systems","Domestic","$649M (Micro)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","72.35","12.55"
"AMTX","Aemetis Inc","Domestic","$192M (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","--","--"
"AOLS","Aeolus Pharmaceuticals Inc","Domestic","$15K (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","0.07"
"AERN","AER Energy Resources Inc","Domestic","$14K (Micro)","Industrials","Electrical Equipment","Electrical Components & Equipment","--","0.00"
"AERI","Aerie Pharmaceuticals Inc","Domestic","$753M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"AKOM","Aerkomm Inc","Domestic","$49M (Micro)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","--","1.55"
"AERC","AeroClean Technologies Inc","Domestic","$50M (Micro)","Industrials","Building Products","Building Products","--","3.06"
"AJRD","Aerojet Rocketdyne Holdings Inc","Domestic","$4B (Small)","Industrials","Aerospace & Defense","Aerospace & Defense","44.75","7.61"
"AVTE","Aerovate Therapeutics Inc","Domestic","$474M (Micro)","Health Care","Biotechnology","Biotechnology","--","3.40"
"AVAV","AeroVironment Inc","Domestic","$2B (Small)","Industrials","Aerospace & Defense","Aerospace & Defense","1,603.65","3.77"
"ASLE","AerSale Corp","Domestic","$826M (Micro)","Industrials","Aerospace & Defense","Aerospace & Defense","16.72","1.79"
"AES","AES Corp","Domestic","$18B (Mid)","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders","--","7.14"
"AESC","AES Corp","Domestic","-- ","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders","--","--"
"AEZS","Aeterna Zentaris Inc","Domestic","$18M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.37"
"AEMD","Aethlon Medical Inc","Domestic","$10M (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","0.46"
"AEVA","Aeva Technologies Inc","Domestic","$395M (Micro)","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","--","1.08"
