"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"DVA","DaVita Inc","Domestic","6.81%","10.49","Health Care","Health Care Providers & Services","Health Care Services","$6B (Small)"
"WCC","Wesco International Inc","Domestic","8.16%","8.77","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$6B (Small)"
"CIEN","Ciena Corp","Domestic","5.09%","34.22","Information Technology","Communications Equipment","Communications Equipment","$6B (Small)"
"IRDM","Iridium Communications Inc","Domestic","0.12%","1,788.46","Communication Services","Diversified Telecommunication Services","Alternative Carriers","$7B (Small)"
"PII","Polaris Inc","Domestic","16.73%","13.78","Consumer Discretionary","Leisure Products","Leisure Products","$7B (Small)"
"NXST","Nexstar Media Group Inc","Domestic","8.32%","6.91","Communication Services","Media","Broadcasting","$7B (Small)"
"CLH","Clean Harbors Inc","Domestic","8.73%","17.40","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$7B (Small)"
"CHH","Choice Hotels International Inc","Domestic","22.43%","20.07","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$7B (Small)"
"WH","Wyndham Hotels & Resorts Inc","Domestic","8.98%","19.61","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$7B (Small)"
"PLNT","Planet Fitness Inc","Domestic","3.64%","87.03","Consumer Discretionary","Hotels, Restaurants & Leisure","Leisure Facilities","$7B (Small)"
"TXRH","Texas Roadhouse Inc","Domestic","14.18%","25.62","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$7B (Small)"
"FR","First Industrial Realty Trust Inc","Domestic","10.07%","16.78","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","$7B (Small)"
"REYN","Reynolds Consumer Products Inc","Domestic","6.39%","24.11","Consumer Staples","Household Products","Household Products","$7B (Small)"
"MUSA","Murphy Usa Inc","Domestic","19.66%","10.80","Consumer Discretionary","Specialty Retail","Automotive Retail","$7B (Small)"
"NVT","nVent Electric PLC","Domestic","7.39%","21.89","Industrials","Electrical Equipment","Electrical Components & Equipment","$7B (Small)"
"DLB","Dolby Laboratories Inc","Domestic","7.09%","38.66","Information Technology","Software","Systems Software","$7B (Small)"
"HRB","H & R Block Inc","Domestic","24.78%","13.33","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","$7B (Small)"
"ARW","Arrow Electronics Inc","Domestic","17.19%","5.12","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$7B (Small)"
"GNRC","Generac Holdings Inc","Domestic","13.57%","16.03","Industrials","Electrical Equipment","Electrical Components & Equipment","$7B (Small)"
"AMKR","Amkor Technology Inc","Domestic","18.49%","8.30","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$7B (Small)"
"GNTX","Gentex Corp","Domestic","15.96%","21.49","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$7B (Small)"
"DXC","DXC Technology Co","Domestic","6.29%","9.63","Information Technology","IT Services","IT Consulting & Other Services","$7B (Small)"
"CW","Curtiss-Wright Corp","Domestic","7.68%","26.37","Industrials","Aerospace & Defense","Aerospace & Defense","$7B (Small)"
"NWSA","News Corp","Domestic","4.52%","22.60","Communication Services","Media","Publishing","$7B (Small)"
"EGP","Eastgroup Properties Inc","Domestic","6.76%","29.90","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","$7B (Small)"
"CPRI","Capri Holdings Ltd","Domestic","13.24%","9.86","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$7B (Small)"
"MEDP","Medpace Holdings Inc","Domestic","28.93%","34.03","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$7B (Small)"
"ST","Sensata Technologies Holding PLC","Domestic","4.00%","22.88","Industrials","Electrical Equipment","Electrical Components & Equipment","$7B (Small)"
"BERY","Berry Global Group Inc","Domestic","5.32%","9.58","Materials","Containers & Packaging","Metal & Glass Containers","$7B (Small)"
"ATR","Aptargroup Inc","Domestic","7.54%","29.85","Materials","Containers & Packaging","Metal & Glass Containers","$7B (Small)"
"GPK","Graphic Packaging Holding Co","Domestic","5.42%","17.25","Materials","Containers & Packaging","Paper Packaging","$7B (Small)"
"HOG","Harley-Davidson Inc","Domestic","9.00%","9.86","Consumer Discretionary","Automobiles","Motorcycle Manufacturers","$7B (Small)"
"BRX","Brixmor Property Group Inc","Domestic","4.35%","21.31","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$7B (Small)"
"ITT","ITT Inc","Domestic","14.55%","20.08","Industrials","Machinery","Industrial Machinery","$7B (Small)"
"RL","Ralph Lauren Corp","Domestic","9.43%","14.80","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$7B (Small)"
"WEX","WEX Inc","Domestic","2.01%","72.82","Information Technology","IT Services","Data Processing & Outsourced Services","$7B (Small)"
"KBR","KBR Inc","Domestic","4.16%","50.23","Industrials","Professional Services","Research & Consulting Services","$7B (Small)"
"GMED","Globus Medical Inc","Domestic","8.58%","46.56","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$7B (Small)"
"PDCE","PDC Energy Inc","Domestic","35.11%","3.95","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$7B (Small)"
"VMI","Valmont Industries Inc","Domestic","9.07%","30.42","Industrials","Construction & Engineering","Construction & Engineering","$7B (Small)"
"RGLD","Royal Gold Inc","Domestic","8.34%","28.66","Materials","Metals & Mining","Gold","$7B (Small)"
"MTZ","MasTec Inc","Domestic","2.18%","64.17","Industrials","Construction & Engineering","Construction & Engineering","$7B (Small)"
"CACI","CACI International Inc","Domestic","6.75%","19.75","Industrials","Professional Services","Research & Consulting Services","$7B (Small)"
"HALO","Halozyme Therapeutics Inc","Domestic","14.94%","35.99","Health Care","Biotechnology","Biotechnology","$7B (Small)"
"OHI","Omega Healthcare Investors Inc","Domestic","4.55%","18.34","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","$7B (Small)"
"RBC","RBC Bearings Inc","Domestic","3.30%","80.31","Industrials","Machinery","Industrial Machinery","$7B (Small)"
"RRC","Range Resources Corp","Domestic","26.57%","6.37","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$7B (Small)"
"EME","EMCOR Group Inc","Domestic","13.05%","20.86","Industrials","Construction & Engineering","Construction & Engineering","$7B (Small)"
"GLOB","Globant SA","Domestic","9.22%","54.58","Information Technology","IT Services","IT Consulting & Other Services","$7B (Small)"
"DCI","Donaldson Company Inc","Domestic","17.69%","22.85","Industrials","Machinery","Industrial Machinery","$7B (Small)"
"MUR","Murphy Oil Corp","Domestic","12.58%","8.06","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$7B (Small)"
"MASI","Masimo Corp","Domestic","8.53%","46.99","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$7B (Small)"
"CTLT","Catalent Inc","Domestic","4.64%","17.77","Health Care","Pharmaceuticals","Pharmaceuticals","$7B (Small)"
"PNR","Pentair PLC","Domestic","12.08%","14.12","Industrials","Machinery","Industrial Machinery","$7B (Small)"
"HR","Healthcare Realty Trust Inc","Domestic","0.95%","41.10","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","$8B (Small)"
"SEE","Sealed Air Corp","Domestic","13.41%","13.69","Materials","Containers & Packaging","Paper Packaging","$8B (Small)"
"MIDD","Middleby Corp","Domestic","7.60%","19.15","Industrials","Machinery","Industrial Machinery","$8B (Small)"
"CHE","Chemed Corp","Domestic","25.08%","29.51","Health Care","Health Care Providers & Services","Health Care Services","$8B (Small)"
"MPW","Medical Properties Trust Inc","Domestic","6.71%","6.11","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","$8B (Mid)"
"MANH","Manhattan Associates Inc","Domestic","43.61%","69.91","Information Technology","Software","Application Software","$8B (Mid)"
"JLL","Jones Lang LaSalle Inc","Domestic","11.28%","9.10","Real Estate","Real Estate Management & Development","Real Estate Services","$8B (Mid)"
"HESM","Hess Midstream LP","Domestic","21.44%","14.54","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$8B (Mid)"
"WMS","Advanced Drainage Systems Inc","Domestic","19.14%","17.43","Industrials","Building Products","Building Products","$8B (Mid)"
"ACHC","Acadia Healthcare Company Inc","Domestic","6.72%","28.09","Health Care","Health Care Providers & Services","Health Care Facilities","$8B (Mid)"
"SWN","Southwestern Energy Co","Domestic","20.56%","5.23","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$8B (Mid)"
"OLN","Olin Corp","Domestic","21.03%","6.23","Materials","Chemicals","Commodity Chemicals","$8B (Mid)"
"FND","Floor & Decor Holdings Inc","Domestic","9.62%","28.87","Consumer Discretionary","Specialty Retail","Home Improvement Retail","$8B (Mid)"
"WHR","Whirlpool Corp","Domestic","3.50%","24.98","Consumer Discretionary","Household Durables","Household Appliances","$8B (Mid)"
"DCP","DCP Midstream LP","Domestic","9.88%","7.67","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$8B (Mid)"
"CLF","Cleveland-Cliffs Inc","Domestic","16.32%","3.38","Materials","Metals & Mining","Steel","$8B (Mid)"
"G","Genpact Ltd","Domestic","10.14%","24.97","Information Technology","IT Services","Data Processing & Outsourced Services","$8B (Mid)"
"USFD","US Foods Holding Corp","Domestic","2.37%","41.88","Consumer Staples","Food & Staples Retailing","Food Distributors","$8B (Mid)"
"DBX","Dropbox Inc","Domestic","18.84%","20.19","Information Technology","Software","Application Software","$8B (Mid)"
"MTDR","Matador Resources Co","Domestic","32.08%","7.04","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$8B (Mid)"
"TTEK","Tetra Tech Inc","Domestic","15.32%","31.82","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$8B (Mid)"
"DISH","DISH Network Corp","Domestic","5.14%","5.14","Communication Services","Media","Cable & Satellite","$8B (Mid)"
"CGNX","Cognex Corp","Domestic","11.80%","39.23","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$8B (Mid)"
"WSM","Williams-Sonoma Inc","Domestic","42.56%","7.51","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","$8B (Mid)"
"NNN","National Retail Properties Inc","Domestic","4.03%","26.49","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$8B (Mid)"
"FBHS","Fortune Brands Home & Security Inc","Domestic","11.84%","11.49","Industrials","Building Products","Building Products","$8B (Mid)"
"CHDN","Churchill Downs Inc","Domestic","14.12%","17.95","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$8B (Mid)"
"RHI","Robert Half International Inc","Domestic","41.53%","12.50","Industrials","Professional Services","Human Resource & Employment Services","$8B (Mid)"
"SWCH","Switch Inc","Domestic","15.13%","22.38","Information Technology","IT Services","Internet Services & Infrastructure","$8B (Mid)"
"HAS","Hasbro Inc","Domestic","5.56%","20.53","Consumer Discretionary","Leisure Products","Leisure Products","$8B (Mid)"
"LEA","Lear Corp","Domestic","3.66%","37.44","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$9B (Mid)"
"OC","Owens Corning","Domestic","15.91%","6.76","Industrials","Building Products","Building Products","$9B (Mid)"
"RRX","Regal Rexnord Corp","Domestic","6.06%","22.86","Industrials","Electrical Equipment","Electrical Components & Equipment","$9B (Mid)"
"KNX","Knight-Swift Transportation Holdings Inc","Domestic","9.08%","10.07","Industrials","Road & Rail","Trucking","$9B (Mid)"
"LECO","Lincoln Electric Holdings Inc","Domestic","23.94%","20.18","Industrials","Machinery","Industrial Machinery","$9B (Mid)"
"PAA","Plains All American Pipeline LP","Domestic","7.45%","8.54","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$9B (Mid)"
"TPR","Tapestry Inc","Domestic","13.59%","11.51","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$9B (Mid)"
"HEI","HEICO Corp","Domestic","12.37%","65.83","Industrials","Aerospace & Defense","Aerospace & Defense","$9B (Mid)"
"AAP","Advance Auto Parts Inc","Domestic","7.01%","19.24","Consumer Discretionary","Specialty Retail","Automotive Retail","$9B (Mid)"
"FIVE","Five Below Inc","Domestic","10.42%","37.61","Consumer Discretionary","Specialty Retail","Specialty Stores","$9B (Mid)"
"FRT","Federal Realty Investment Trust","Domestic","4.13%","31.66","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$9B (Mid)"
"PAG","Penske Automotive Group Inc","Domestic","15.45%","6.88","Consumer Discretionary","Specialty Retail","Automotive Retail","$9B (Mid)"
"BLDR","Builders FirstSource Inc","Domestic","31.16%","3.73","Industrials","Building Products","Building Products","$9B (Mid)"
"CASY","Caseys General Stores Inc","Domestic","8.23%","24.19","Consumer Staples","Food & Staples Retailing","Food Retail","$9B (Mid)"
"NOV","Nov Inc","Domestic","0.17%","949.92","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$9B (Mid)"
"STOR","STORE Capital Corp","Domestic","3.32%","27.61","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$9B (Mid)"
"SWAV","Shockwave Medical Inc","Domestic","25.88%","107.20","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$9B (Mid)"
"LSI","Life Storage Inc","Domestic","5.64%","26.68","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$9B (Mid)"
"CUBE","CubeSmart","Domestic","5.03%","35.74","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$9B (Mid)"
"UHS","Universal Health Services Inc","Domestic","6.50%","13.25","Health Care","Health Care Providers & Services","Health Care Facilities","$9B (Mid)"
"HII","Huntington Ingalls Industries Inc","Domestic","7.35%","16.05","Industrials","Aerospace & Defense","Aerospace & Defense","$9B (Mid)"
"PFGC","Performance Food Group Co","Domestic","2.41%","45.21","Consumer Staples","Food & Staples Retailing","Food Distributors","$9B (Mid)"
"WSO","Watsco Inc","Domestic","30.91%","20.13","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$9B (Mid)"
"DKS","DICK'S Sporting Goods Inc","Domestic","20.02%","10.61","Consumer Discretionary","Specialty Retail","Specialty Stores","$9B (Mid)"
"FOXA","Fox Corp","Domestic","5.72%","15.52","Communication Services","Media","Broadcasting","$9B (Mid)"
"CAR","Avis Budget Group Inc","Domestic","13.06%","4.20","Industrials","Road & Rail","Trucking","$9B (Mid)"
"LII","Lennox International Inc","Domestic","35.79%","19.71","Industrials","Building Products","Building Products","$9B (Mid)"
"AOS","A O Smith Corp","Domestic","21.31%","19.70","Industrials","Building Products","Building Products","$9B (Mid)"
"FFIV","F5 Inc","Domestic","9.15%","29.75","Information Technology","Communications Equipment","Communications Equipment","$9B (Mid)"
"AGCO","AGCO Corp","Domestic","13.48%","11.27","Industrials","Machinery","Agricultural & Farm Machinery","$10B (Mid)"
"LSCC","Lattice Semiconductor Corp","Domestic","24.88%","62.87","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$10B (Mid)"
"JBL","Jabil Inc","Domestic","16.62%","10.23","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$10B (Mid)"
"RGEN","Repligen Corp","Domestic","8.44%","59.44","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$10B (Mid)"
"WRK","Westrock Co","Domestic","3.79%","10.30","Materials","Containers & Packaging","Paper Packaging","$10B (Mid)"
"SNX","TD Synnex Corp","Domestic","5.59%","17.83","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$10B (Mid)"
"DECK","Deckers Outdoor Corp","Domestic","25.86%","22.57","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear","$10B (Mid)"
"QRVO","Qorvo Inc","Domestic","10.33%","15.22","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$10B (Mid)"
"BKI","Black Knight Inc","Domestic","3.47%","19.79","Information Technology","Software","Application Software","$10B (Mid)"
"BWA","Borgwarner Inc","Domestic","7.36%","12.35","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$10B (Mid)"
"PHM","Pultegroup Inc","Domestic","23.95%","4.39","Consumer Discretionary","Household Durables","Homebuilding","$10B (Mid)"
"BJ","BJ's Wholesale Club Holdings Inc","Domestic","13.16%","20.49","Consumer Staples","Food & Staples Retailing","Hypermarkets & Super Centers","$10B (Mid)"
"LAMR","Lamar Advertising Co","Domestic","9.14%","20.10","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$10B (Mid)"
"WSC","Willscot Mobile Mini Holdings Corp","Domestic","5.49%","37.65","Industrials","Construction & Engineering","Construction & Engineering","$10B (Mid)"
"ALLE","Allegion PLC","Domestic","15.64%","23.21","Industrials","Building Products","Building Products","$10B (Mid)"
"BRKR","Bruker Corp","Domestic","11.87%","37.40","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$10B (Mid)"
"TFX","Teleflex Inc","Domestic","6.53%","24.93","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$10B (Mid)"
"EDR","Endeavor Group Holdings Inc","Domestic","8.88%","19.08","Communication Services","Entertainment","Movies & Entertainment","$10B (Mid)"
"ARMK","Aramark","Domestic","1.67%","53.67","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$10B (Mid)"
"H","Hyatt Hotels Corp","Domestic","1.46%","83.17","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$10B (Mid)"
"EMN","Eastman Chemical Co","Domestic","9.49%","9.58","Materials","Chemicals","Specialty Chemicals","$10B (Mid)"
"DT","Dynatrace Inc","Domestic","1.68%","375.78","Information Technology","Software","Application Software","$10B (Mid)"
"JNPR","Juniper Networks Inc","Domestic","6.02%","25.12","Information Technology","Communications Equipment","Communications Equipment","$10B (Mid)"
"MTN","Vail Resorts Inc","Domestic","7.36%","30.67","Consumer Discretionary","Hotels, Restaurants & Leisure","Leisure Facilities","$11B (Mid)"
"NFE","New Fortress Energy Inc","Domestic","10.23%","38.61","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$11B (Mid)"
"WES","Western Midstream Partners LP","Domestic","11.26%","10.03","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$11B (Mid)"
"KMX","Carmax Inc","Domestic","3.45%","13.55","Consumer Discretionary","Specialty Retail","Automotive Retail","$11B (Mid)"
"REXR","Rexford Industrial Realty Inc","Domestic","2.43%","59.58","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","$11B (Mid)"
"HSIC","Henry Schein Inc","Domestic","12.99%","17.41","Health Care","Health Care Providers & Services","Health Care Distributors","$11B (Mid)"
"MMP","Magellan Midstream Partners LP","Domestic","12.50%","12.35","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$11B (Mid)"
"SCI","Service Corporation International","Domestic","4.78%","17.09","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","$11B (Mid)"
"ENTG","Entegris Inc","Domestic","4.50%","36.33","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$11B (Mid)"
"TAP","Molson Coors Beverage Co","Domestic","2.09%","24.09","Consumer Staples","Beverages","Brewers","$11B (Mid)"
"BSY","Bentley Systems Inc","Domestic","8.82%","63.91","Information Technology","Software","Application Software","$11B (Mid)"
"AR","Antero Resources Corp","Domestic","19.91%","5.74","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$11B (Mid)"
"ACI","Albertsons Companies Inc","Domestic","8.37%","7.27","Consumer Staples","Food & Staples Retailing","Food Retail","$11B (Mid)"
"QGEN","Qiagen NV","Domestic","9.28%","24.02","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$11B (Mid)"
"ZI","ZoomInfo Technologies Inc","Domestic","2.92%","121.88","Communication Services","Interactive Media & Services","Interactive Media & Services","$11B (Mid)"
"BXP","Boston Properties Inc","Domestic","5.39%","12.16","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$11B (Mid)"
"STX","Seagate Technology Holdings PLC","Domestic","20.58%","10.43","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","$11B (Mid)"
"CE","Celanese Corp","Domestic","12.09%","6.85","Materials","Chemicals","Specialty Chemicals","$11B (Mid)"
"MAS","Masco Corp","Domestic","28.47%","13.78","Industrials","Building Products","Building Products","$11B (Mid)"
"AMH","American Homes 4 Rent","Domestic","2.64%","52.73","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$11B (Mid)"
"REG","Regency Centers Corp","Domestic","4.52%","25.07","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$11B (Mid)"
"CHRW","CH Robinson Worldwide Inc","Domestic","31.66%","11.84","Industrials","Air Freight & Logistics","Air Freight & Logistics","$11B (Mid)"
"WDC","Western Digital Corp","Domestic","4.33%","12.46","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","$12B (Mid)"
"GDDY","GoDaddy Inc","Domestic","7.37%","35.08","Information Technology","IT Services","Internet Services & Infrastructure","$12B (Mid)"
"DAR","Darling Ingredients Inc","Domestic","11.65%","16.11","Consumer Staples","Food Products","Agricultural Products","$12B (Mid)"
"TRU","TransUnion","Domestic","2.49%","56.84","Industrials","Professional Services","Research & Consulting Services","$12B (Mid)"
"ACM","AECOM","Domestic","7.09%","30.70","Industrials","Construction & Engineering","Construction & Engineering","$12B (Mid)"
"NBIX","Neurocrine Biosciences Inc","Domestic","3.37%","208.05","Health Care","Biotechnology","Biotechnology","$12B (Mid)"
"TTC","Toro Co","Domestic","17.39%","30.64","Industrials","Machinery","Agricultural & Farm Machinery","$12B (Mid)"
"PCTY","Paylocity Holding Corp","Domestic","14.77%","130.86","Information Technology","Software","Application Software","$12B (Mid)"
"PARA","Paramount Global","Domestic","6.75%","4.51","Communication Services","Media","Broadcasting","$12B (Mid)"
"GGG","Graco Inc","Domestic","22.98%","26.79","Industrials","Machinery","Industrial Machinery","$12B (Mid)"
"ELS","Equity LifeStyle Properties Inc","Domestic","5.91%","45.34","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$12B (Mid)"
"SWK","Stanley Black & Decker Inc","Domestic","3.05%","23.80","Industrials","Machinery","Industrial Machinery","$12B (Mid)"
"CRL","Charles River Laboratories International Inc","Domestic","7.17%","28.52","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$12B (Mid)"
"PKG","Packaging Corp of America","Domestic","14.40%","12.14","Materials","Containers & Packaging","Paper Packaging","$12B (Mid)"
"UTHR","United Therapeutics Corp","Domestic","13.88%","18.43","Health Care","Biotechnology","Biotechnology","$12B (Mid)"
"LW","Lamb Weston Holdings Inc","Domestic","6.86%","31.01","Consumer Staples","Food Products","Packaged Foods & Meats","$12B (Mid)"
"CPT","Camden Property Trust","Domestic","10.53%","15.38","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$12B (Mid)"
"BURL","Burlington Stores Inc","Domestic","3.20%","76.79","Consumer Discretionary","Specialty Retail","Apparel Retail","$12B (Mid)"
"RS","Reliance Steel & Aluminum Co","Domestic","22.60%","6.96","Materials","Metals & Mining","Steel","$12B (Mid)"
"SNA","Snap-On Inc","Domestic","16.12%","14.52","Industrials","Machinery","Industrial Machinery","$13B (Mid)"
"POOL","Pool Corp","Domestic","34.76%","16.61","Consumer Discretionary","Distributors","Distributors","$13B (Mid)"
"SSNC","SS&C Technologies Holdings Inc","Domestic","5.03%","19.66","Information Technology","IT Services","Data Processing & Outsourced Services","$13B (Mid)"
"TECH","Bio-Techne Corp","Domestic","13.08%","46.57","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$13B (Mid)"
"IP","International Paper Co","Domestic","7.24%","6.96","Materials","Containers & Packaging","Paper Packaging","$13B (Mid)"
"VFC","VF Corp","Domestic","4.48%","31.29","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$13B (Mid)"
"IPG","Interpublic Group of Companies Inc","Domestic","11.72%","13.45","Communication Services","Media","Advertising","$13B (Mid)"
"UDR","UDR Inc","Domestic","1.96%","81.94","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$13B (Mid)"
"DINO","HF Sinclair Corp","Domestic","19.61%","6.09","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$13B (Mid)"
"GLPI","Gaming and Leisure Properties Inc","Domestic","6.51%","21.20","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$13B (Mid)"
"MTCH","Match Group Inc","Domestic","2.89%","132.79","Communication Services","Interactive Media & Services","Interactive Media & Services","$13B (Mid)"
"CSL","Carlisle Companies Inc","Domestic","14.13%","15.39","Industrials","Building Products","Building Products","$13B (Mid)"
"HST","Host Hotels & Resorts Inc","Domestic","7.05%","16.48","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","$13B (Mid)"
"RPM","RPM International Inc","Domestic","10.38%","25.31","Materials","Chemicals","Specialty Chemicals","$13B (Mid)"
"DPZ","Domino's Pizza Inc","Domestic","40.22%","30.35","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$13B (Mid)"
"AXON","Axon Enterprise Inc","Domestic","7.34%","130.45","Industrials","Aerospace & Defense","Aerospace & Defense","$13B (Mid)"
"NDSN","Nordson Corp","Domestic","15.44%","28.31","Industrials","Machinery","Industrial Machinery","$13B (Mid)"
"VTRS","Viatris Inc","Domestic","1.82%","16.78","Health Care","Pharmaceuticals","Pharmaceuticals","$13B (Mid)"
"ZBRA","Zebra Technologies Corp","Domestic","9.69%","29.80","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$13B (Mid)"
"WLK","Westlake Corp","Domestic","16.92%","5.20","Materials","Chemicals","Commodity Chemicals","$14B (Mid)"
"TYL","Tyler Technologies Inc","Domestic","4.86%","73.74","Information Technology","Software","Application Software","$14B (Mid)"
"MGM","MGM Resorts International","Domestic","1.75%","12.13","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$14B (Mid)"
"PEAK","Healthpeak Properties Inc","Domestic","3.81%","26.95","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","$14B (Mid)"
"CHK","Chesapeake Energy Corp","Domestic","38.04%","6.22","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$14B (Mid)"
"JKHY","Jack Henry & Associates Inc","Domestic","18.56%","37.67","Information Technology","IT Services","Data Processing & Outsourced Services","$14B (Mid)"
"ESS","Essex Property Trust Inc","Domestic","3.18%","38.71","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$14B (Mid)"
"OVV","Ovintiv Inc","Domestic","34.53%","3.96","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$14B (Mid)"
"HUBB","Hubbell Inc","Domestic","11.29%","29.89","Industrials","Electrical Equipment","Electrical Components & Equipment","$14B (Mid)"
"KIM","Kimco Realty Corp","Domestic","0.50%","60.39","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$14B (Mid)"
"FLT","Fleetcor Technologies Inc","Domestic","12.20%","15.75","Information Technology","IT Services","Data Processing & Outsourced Services","$14B (Mid)"
"BAH","Booz Allen Hamilton Holding Corp","Domestic","11.38%","27.26","Industrials","Professional Services","Research & Consulting Services","$14B (Mid)"
"AVTR","Avantor Inc","Domestic","5.69%","23.65","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$14B (Mid)"
