"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"LIVE","Live Ventures Inc","Domestic","18.63%","2.44","Consumer Discretionary","Household Durables","Home Furnishings","$79M (Micro)"
"LVWD","Live World Inc","Domestic","75.44%","6.30","Information Technology","Internet Software & Services","Internet Software & Services","$8M (Micro)"
"LVWR","LiveWire Group Inc","Domestic","2.35%","32.41","Consumer Discretionary","Automobiles","Motorcycle Manufacturers","$1B (Micro)"
"LL","LL Flooring Holdings Inc","Domestic","3.26%","15.70","Consumer Discretionary","Specialty Retail","Home Improvement Retail","$206M (Micro)"
"LOVE","Lovesac Co","Domestic","18.64%","9.20","Consumer Discretionary","Household Durables","Home Furnishings","$384M (Micro)"
"LXU","LSB Industries Inc","Domestic","18.40%","6.12","Materials","Chemicals","Diversified Chemicals","$1B (Micro)"
"LYTS","LSI Industries Inc","Domestic","7.81%","17.12","Industrials","Electrical Equipment","Electrical Components & Equipment","$305M (Micro)"
"LTC","LTC Properties Inc","Domestic","6.35%","16.62","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","$2B (Micro)"
"LXFR","Luxfer Holdings PLC","Domestic","10.23%","14.39","Industrials","Machinery","Industrial Machinery","$441M (Micro)"
"MHO","M/I Homes Inc","Domestic","16.44%","2.66","Consumer Discretionary","Household Durables","Homebuilding","$1B (Micro)"
"MBUU","Malibu Boats Inc","Domestic","28.25%","7.30","Consumer Discretionary","Leisure Products","Leisure Products","$1B (Micro)"
"MTW","Manitowoc Company Inc","Domestic","1.38%","20.56","Industrials","Machinery","Construction Machinery & Heavy Trucks","$343M (Micro)"
"MTEX","Mannatech Inc","Domestic","16.89%","9.76","Consumer Staples","Personal Products","Personal Products","$41M (Micro)"
"MMI","Marcus & Millichap Inc","Domestic","19.82%","9.52","Real Estate","Real Estate Management & Development","Real Estate Services","$1B (Micro)"
"MCS","Marcus Corp","Domestic","0.38%","483.28","Communication Services","Entertainment","Movies & Entertainment","$496M (Micro)"
"MRMD","Marimed Inc","Domestic","1.89%","330.98","Health Care","Pharmaceuticals","Pharmaceuticals","$183M (Micro)"
"MARPS","Marine Petroleum Trust","Domestic","143.07%","11.45","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$17M (Micro)"
"MPX","Marine Products Corp","Domestic","30.66%","10.34","Consumer Discretionary","Leisure Products","Leisure Products","$383M (Micro)"
"HZO","MarineMax Inc","Domestic","23.34%","3.71","Consumer Discretionary","Specialty Retail","Specialty Stores","$713M (Micro)"
"MRTN","Marten Transport Ltd","Domestic","14.01%","15.75","Industrials","Road & Rail","Trucking","$2B (Micro)"
"MMLP","Martin Midstream Partners LP","Domestic","4.50%","6.08","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$131M (Micro)"
"DOOR","Masonite International Corp","Domestic","8.66%","10.52","Industrials","Building Products","Building Products","$2B (Micro)"
"MHH","Mastech Digital Inc","Domestic","12.62%","15.86","Industrials","Professional Services","Human Resource & Employment Services","$169M (Micro)"
"MCFT","Mastercraft Boat Holdings Inc","Domestic","35.62%","6.41","Consumer Discretionary","Leisure Products","Leisure Products","$450M (Micro)"
"MMND","Mastermind Inc","Domestic","31.07%","12.48","Communication Services","Media","Advertising","$10M (Micro)"
"MTRN","Materion Corp","Domestic","6.13%","21.48","Materials","Metals & Mining","Diversified Metals & Mining","$2B (Micro)"
"MATV","Mativ Holdings Inc","Domestic","1.42%","12.19","Materials","Chemicals","Commodity Chemicals","$1B (Micro)"
"MLP","Maui Land & Pineapple Company Inc","Domestic","14.67%","33.08","Real Estate","Real Estate Management & Development","Real Estate Development","$184M (Micro)"
"MAXR","Maxar Technologies Inc","Domestic","1.23%","48.14","Industrials","Aerospace & Defense","Aerospace & Defense","$2B (Micro)"
"MRTI","Maxus Realty Trust Inc","Domestic","1.16%","280.23","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","$321M (Micro)"
"MEC","Mayville Engineering Company Inc","Domestic","0.87%","82.45","Industrials","Machinery","Industrial Machinery","$222M (Micro)"
"MCRAA","McRae Industries Inc","Domestic","10.84%","11.24","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear","$78M (Micro)"
"SHWZ","Medicine Man Technologies Inc","Domestic","9.04%","10.44","Health Care","Pharmaceuticals","Pharmaceuticals","$95M (Micro)"
"MED","Medifast Inc","Domestic","78.98%","9.08","Consumer Staples","Personal Products","Personal Products","$1B (Micro)"
"MTMT","Mega Matrix Corp","Domestic","61.72%","1.90","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$49M (Micro)"
"VIVO","Meridian Bioscience Inc","Domestic","10.65%","32.39","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$1B (Micro)"
"MLNK","Meridianlink Inc","Domestic","0.36%","332.12","Information Technology","Software","Application Software","$1B (Micro)"
"MHGU","Meritage Hospitality Group Inc","Domestic","6.95%","34.38","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$128M (Micro)"
"MTR","Mesa Royalty Trust","Domestic","110.83%","10.39","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$30M (Micro)"
"MSB","Mesabi Trust","Domestic","156.73%","6.48","Materials","Metals & Mining","Steel","$273M (Micro)"
"MCCK","Mestek Inc","Domestic","9.71%","13.29","Consumer Discretionary","Household Durables","Household Appliances","$197M (Micro)"
